name	rawTweet
tonyman7777	RT @DailySabah: Crimean Tatar Eurovision winner Jamala to get Ukrainian honor https://t.co/DW8eXhgTE8 https://t.co/xLvO4SMS5T
jimineuropa	RT @Ericamarat: Jamala was born in Osh, her Armenian mother's family is from Nagorno-Karabakh. The sad &amp; beautiful stories of migration all…
ppsabengel	RT @VeraVanHorne: Will @jamala tell that current regime in Kiev prohibited use of her native language as soon as they came to power? https:…
NinaSublattifan	RT @Eurovision: Over 7 million Tweets were sent for tonight's #Eurovision smashing last year's record. Congratulations @Jamala! #UKR https:…
JustMeLuka	RT @AmbassadorPower: Incredible performance by #Jamala, giving Crimean Tatars, suffering persecution &amp; abuse, reason to celebrate https://t…
xLoveWavex	RT @jacob__017: Honestly congratulations Jamala &amp; Ukraine, you really deserved it ❤️
knight_of_sg	I added a video to a @YouTube playlist https://t.co/ol1PhFmmcW Jamala - 1944 (Ukraine) 2016 Eurovision Song Contest
nytimes	A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t.co/Mk3s96UGpq
notiven	RT: @nytimes :A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/yf5GLdu6Mn https://t
felipealfonsog	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
St0psch1ld	RT: nytimes: A politically charged ballad by the Ukrainian singer Jamala won the Eurovision Song Contest … https://t.co/xHW6o1GOBn
kkrida	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
armyboy_96	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
PearleneClapper	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
WorldNewsInVids	euronews:  Singer Jamala returns to Kyiv after… https://t.co/nLl5gxHalH | https://t.co/eoxOBZhPjT #NewsInVids https://t.co/JhiT1qgNa0
4chrizt	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
BegmatovaMadina	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
